,overall_rank,mi_score,mi_rank_pct,rfecv_score,rfecv_rank_pct,lasso_coef,lasso_rank_pct,rf_importance,rf_rank_pct,composite_score,is_fbref
home_win_prob,1,0.18970136912709323,1.0,1.0,0.9285714285714286,0.2633042665213344,1.0,0.15310394112005596,0.9795918367346939,0.9770408163265307,False
away_win_prob,2,0.18099231919504488,0.9795918367346939,1.0,0.9285714285714286,0.2575663349666863,0.9795918367346939,0.15542767891253695,1.0,0.971938775510204,False
squad_value_ratio,3,0.06379536181114753,0.9387755102040817,1.0,0.9285714285714286,0.05963360323959588,0.7959183673469388,0.029126608543796863,0.8979591836734694,0.8903061224489797,False
draw_prob,4,0.02721737937057478,0.673469387755102,1.0,0.9285714285714286,0.052234281732995574,0.7755102040816326,0.0632702708679873,0.9591836734693877,0.8341836734693877,False
log_squad_value_ratio,5,0.05533893035914694,0.8979591836734694,1.0,0.9285714285714286,0.02501024125931674,0.4489795918367347,0.033179478104264186,0.9387755102040817,0.8035714285714286,False
home_roll_xg_against,6,0.026308733604859746,0.6530612244897959,1.0,0.9285714285714286,0.028856778981707697,0.5102040816326531,0.022840760447688794,0.8571428571428571,0.7372448979591837,False
squad_value_diff,7,0.06405052499400199,0.9591836734693877,1.0,0.9285714285714286,0.0,0.12244897959183673,0.029763664135207795,0.9183673469387755,0.7321428571428571,False
away_avg_player_value,8,0.03273968255148363,0.7755102040816326,0.09090909090909091,0.6530612244897959,0.07245916172210036,0.8571428571428571,0.01313672172440719,0.6326530612244898,0.7295918367346939,False
net_poss,9,0.01526804336767551,0.32653061224489793,0.3333333333333333,0.8163265306122449,0.10372918160703258,0.9591836734693877,0.016789098973956668,0.7142857142857143,0.7040816326530612,True
net_xg_diff,10,0.040523970878420634,0.8367346938775511,1.0,0.9285714285714286,0.0,0.12244897959183673,0.026221993660746276,0.8775510204081632,0.6913265306122449,False
home_squad_value,11,0.019269536596846493,0.42857142857142855,0.1111111111111111,0.6938775510204082,0.07804374856261405,0.8775510204081632,0.013729426534990964,0.6530612244897959,0.6632653061224489,False
home_player_ga90,12,0.044340980261062146,0.8775510204081632,0.043478260869565216,0.40816326530612246,0.08909319165785558,0.9387755102040817,0.011769717095946588,0.42857142857142855,0.6632653061224489,True
home_roll_poss,13,0.012115018591302817,0.20408163265306123,0.14285714285714285,0.7346938775510204,0.08365309139734282,0.9183673469387755,0.018082788729956556,0.7755102040816326,0.6581632653061225,True
home_roll_xg_diff,14,0.02600589280326915,0.6326530612244898,0.25,0.7959183673469388,0.007311492095159147,0.2857142857142857,0.020009678104855218,0.8163265306122449,0.6326530612244898,False
home_roll_xg_for,15,0.013185426748966389,0.22448979591836735,0.5,0.8367346938775511,0.028831758915903265,0.4897959183673469,0.02219917826636243,0.8367346938775511,0.596938775510204,False
away_roll_xg_for,16,0.02332582332767119,0.5510204081632653,0.2,0.7755102040816326,0.00040104533024465995,0.24489795918367346,0.018428608430528817,0.7959183673469388,0.5918367346938775,False
net_goal_diff,17,0.0391378469504402,0.8163265306122449,0.1,0.673469387755102,0.0,0.12244897959183673,0.015800435593673664,0.6938775510204082,0.576530612244898,False
away_roll_poss,18,0.0149237538873912,0.30612244897959184,0.07692307692307693,0.6122448979591837,0.03034626411021089,0.5714285714285714,0.01577427928624232,0.673469387755102,0.5408163265306123,True
home_starter_ga90,19,0.05611342805866926,0.9183673469387755,0.03333333333333333,0.2653061224489796,0.03893683641290764,0.6938775510204082,0.009949621147628322,0.22448979591836735,0.5255102040816326,True
home_avg_player_value,20,0.040763772670191045,0.8571428571428571,0.058823529411764705,0.5306122448979592,0.0,0.12244897959183673,0.012747151333599504,0.5918367346938775,0.5255102040816326,False
away_starter_ga90,21,0.02057736786081721,0.4897959183673469,0.07142857142857142,0.5918367346938775,0.024308604659025703,0.42857142857142855,0.0123912469730198,0.5510204081632653,0.5153061224489797,True
home_roll_goals_against,22,0.0161852260750468,0.3673469387755102,0.0625,0.5510204081632653,0.029779127521636275,0.5510204081632653,0.012601850511046198,0.5714285714285714,0.510204081632653,False
away_roll_xg_against,23,0.0,0.061224489795918366,0.16666666666666666,0.7551020408163265,0.02507297634326576,0.46938775510204084,0.01792889437744162,0.7551020408163265,0.510204081632653,False
away_roll_xg_diff,24,0.018946840510683405,0.40816326530612246,0.125,0.7142857142857143,0.0,0.12244897959183673,0.017724106128568083,0.7346938775510204,0.4948979591836735,False
home_minutes_conc,25,0.030771746661879984,0.7142857142857143,0.04,0.3673469387755102,0.021758886837003458,0.3877551020408163,0.012160981618704013,0.5102040816326531,0.4948979591836735,True
home_squad_depth,26,0.024524179692294812,0.5918367346938775,0.038461538461538464,0.3469387755102041,0.032095514724907744,0.6326530612244898,0.010608308354587233,0.3469387755102041,0.47959183673469385,True
away_squad_value,27,0.024814949982259638,0.6122448979591837,0.06666666666666667,0.5714285714285714,0.0,0.12244897959183673,0.012761419195923596,0.6122448979591837,0.47959183673469385,False
away_minutes_conc,28,0.024452686540991753,0.5714285714285714,0.047619047619047616,0.4489795918367347,0.013486036766834334,0.3469387755102041,0.012199057960740264,0.5306122448979592,0.4744897959183674,True
home_roll_goal_diff,29,0.004086271675899589,0.1836734693877551,0.08333333333333333,0.6326530612244898,0.02914995277139175,0.5306122448979592,0.01179213013203873,0.46938775510204084,0.4540816326530613,False
net_points,30,0.03269116365657432,0.7551020408163265,0.05263157894736842,0.4897959183673469,0.0,0.12244897959183673,0.01177731113654588,0.4489795918367347,0.4540816326530612,False
away_player_ga90,31,0.03249984015809915,0.7346938775510204,0.02857142857142857,0.16326530612244897,0.04910872516714616,0.7551020408163265,0.009662413799446592,0.16326530612244897,0.4540816326530612,True
net_player_ga90,32,0.022571347073888415,0.5306122448979592,0.05555555555555555,0.5102040816326531,0.005343572713111784,0.2653061224489796,0.011871212401307398,0.4897959183673469,0.44897959183673475,True
away_roll_points,33,0.03490456109016904,0.7959183673469388,0.05,0.46938775510204084,0.012019567072380785,0.30612244897959184,0.009764049948557067,0.1836734693877551,0.4387755102040817,False
away_squad_depth,34,0.013509334470966472,0.24489795918367346,0.03571428571428571,0.30612244897959184,0.03993089847178886,0.7346938775510204,0.0110564978013246,0.3673469387755102,0.41326530612244894,True
away_roll_goal_diff,35,0.02991239039784066,0.6938775510204082,0.041666666666666664,0.3877551020408163,0.0,0.12244897959183673,0.011569923019991586,0.40816326530612246,0.4030612244897959,False
home_squad_age,36,0.01593887353797463,0.3469387755102041,0.034482758620689655,0.2857142857142857,0.03120001622871718,0.5918367346938775,0.010532456989393396,0.30612244897959184,0.38265306122448983,False
away_roll_goals_against,37,0.01773002300845805,0.3877551020408163,0.03125,0.22448979591836735,0.03958369371835203,0.7142857142857143,0.009856283168135138,0.20408163265306123,0.3826530612244898,False
net_squad_depth,38,0.0,0.061224489795918366,0.027777777777777776,0.14285714285714285,0.07966201184531675,0.8979591836734694,0.011368218735254771,0.3877551020408163,0.3724489795918367,True
away_attackers,39,0.021629639872015716,0.5102040816326531,0.024390243902439025,0.04081632653061224,0.06499751480847205,0.8367346938775511,0.003827384055321951,0.02040816326530612,0.35204081632653067,True
net_starter_ga90,40,0.0017342265382964683,0.14285714285714285,0.030303030303030304,0.20408163265306123,0.03575169073104469,0.6530612244897959,0.010549588093371936,0.32653061224489793,0.33163265306122447,True
home_roll_points,41,0.0031330963770352938,0.16326530612244897,0.045454545454545456,0.42857142857142855,0.012309457438187371,0.32653061224489793,0.010261301105255109,0.2653061224489796,0.29591836734693877,False
away_roll_won,42,0.0013920483094493896,0.12244897959183673,0.02564102564102564,0.08163265306122448,0.059796728871747175,0.8163265306122449,0.005946721373014716,0.10204081632653061,0.2806122448979592,False
home_roll_won,43,0.0202247435960361,0.46938775510204084,0.02702702702702703,0.12244897959183673,0.022648621746329704,0.40816326530612246,0.004438553544930322,0.061224489795918366,0.2653061224489796,False
home_roll_goals_for,44,0.01970243437182706,0.4489795918367347,0.03225806451612903,0.24489795918367346,0.0,0.12244897959183673,0.01023973837714108,0.24489795918367346,0.2653061224489796,False
away_roll_goals_for,45,0.014815953526639003,0.2857142857142857,0.037037037037037035,0.32653061224489793,0.0,0.12244897959183673,0.010311799573855663,0.2857142857142857,0.25510204081632654,False
net_attackers,46,0.0,0.061224489795918366,0.025,0.061224489795918366,0.03580197542418662,0.673469387755102,0.005106848723154749,0.08163265306122448,0.2193877551020408,True
away_squad_age,47,0.0,0.061224489795918366,0.029411764705882353,0.1836734693877551,0.0199830216341296,0.3673469387755102,0.009433383083273558,0.14285714285714285,0.18877551020408162,False
home_attackers,48,0.0,0.061224489795918366,0.023809523809523808,0.02040816326530612,0.03203356171455673,0.6122448979591837,0.0040224211387229454,0.04081632653061224,0.1836734693877551,True
net_win_rate,49,0.013892650657949535,0.2653061224489796,0.02631578947368421,0.10204081632653061,0.0,0.12244897959183673,0.006884797665499616,0.12244897959183673,0.15306122448979592,False
